Date,Open,High,Low,Close,Volume,Adj Close
1994-11-03,375.0,400.0,375.0,396.0,42650,396.0
1994-11-07,396.0,398.25,393.0,395.5,58700,395.5
1994-11-08,398.0,398.75,393.0,396.0,49050,396.0
1994-11-09,399.0,399.0,385.75,387.0,57500,387.0
1994-11-10,387.0,390.0,380.0,380.5,67250,380.5
1994-11-11,371.0,378.5,369.5,372.75,65000,372.75
1994-11-14,373.0,373.0,358.0,361.5,30450,361.5
1994-11-15,360.0,364.0,356.75,361.25,66900,361.25
1994-11-16,364.25,377.0,363.0,373.75,72800,373.75
1994-11-17,377.0,390.0,373.75,387.5,88850,387.5
1994-11-21,385.0,387.0,377.5,378.25,30350,378.25
1994-11-22,381.0,381.25,370.0,371.0,27700,371.0
1994-11-23,375.0,375.0,367.0,367.25,25300,367.25
1994-11-24,370.0,379.0,369.0,378.0,54500,378.0
1994-11-25,381.0,384.0,378.0,379.5,36900,379.5
1994-11-28,377.5,385.0,374.0,383.0,6000,383.0
1994-11-29,385.0,387.0,380.0,380.5,77400,380.5
1994-11-30,382.0,382.0,379.0,380.25,21950,380.25
1994-12-01,378.5,381.75,378.0,379.0,42800,379.0
1994-12-02,376.75,377.0,372.5,374.25,10700,374.25
1994-12-05,373.5,382.5,369.5,380.25,55800,380.25
1994-12-06,378.0,380.0,371.0,372.5,47800,372.5
1994-12-07,373.0,373.0,364.0,366.25,40950,366.25
1994-12-08,363.5,363.5,359.0,361.0,29900,361.0
1994-12-09,360.0,365.0,358.5,363.0,48600,363.0
1994-12-12,355.0,355.5,344.0,347.0,54750,347.0
1994-12-13,345.0,346.0,329.0,332.75,55800,332.75
1994-12-14,333.0,342.5,332.25,336.5,107100,336.5
1994-12-15,336.0,347.0,336.0,344.75,84000,344.75
1994-12-16,345.0,350.0,342.75,344.0,65750,344.0
1994-12-19,345.0,345.0,338.0,338.5,26200,338.5
1994-12-20,342.0,342.0,337.5,339.5,26450,339.5
1994-12-21,337.0,344.0,337.0,343.0,34100,343.0
1994-12-22,342.0,342.0,339.0,340.0,15700,340.0
1994-12-23,339.0,345.5,338.5,344.75,35150,344.75
1994-12-26,339.0,344.75,338.55,339.0,37050,339.0
1994-12-27,340.0,340.0,336.35,337.75,7450,337.75
1994-12-28,340.5,340.5,339.25,339.25,7650,339.25
1994-12-29,339.5,339.75,338.75,339.2,3150,339.2
1994-12-30,339.0,341.5,339.0,341.2,14750,341.2
1995-01-02,341.0,343.0,340.5,341.2,13600,341.2
1995-01-03,342.5,342.5,336.1,336.2,11450,336.2
1995-01-04,339.95,340.5,330.3,332.0,62600,332.0
1995-01-05,332.0,333.0,320.25,321.3,59200,321.3
1995-01-06,323.0,323.5,315.0,316.75,88550,316.75
1995-01-09,319.25,319.25,299.0,302.35,264800,302.35
1995-01-10,303.0,303.0,283.0,287.35,351750,287.35
1995-01-11,290.0,300.0,280.0,295.25,168000,295.25
1995-01-12,294.0,297.5,277.5,278.25,375850,278.25
1995-01-13,280.0,288.5,279.0,286.3,169700,286.3
1995-01-16,288.0,294.0,282.0,284.1,149800,284.1
1995-01-17,285.0,286.0,275.05,277.3,255950,277.3
1995-01-18,279.25,284.7,278.0,283.35,88500,283.35
1995-01-19,282.0,287.5,282.0,283.95,64350,283.95
1995-01-20,284.0,285.45,271.0,272.5,165400,272.5
1995-01-23,274.5,274.5,250.3,251.7,175050,251.7
1995-01-24,250.0,251.75,235.15,246.4,287400,246.4
1995-01-25,245.0,250.0,238.0,242.5,372400,242.5
1995-01-27,245.0,261.0,242.0,256.2,316250,256.2
1995-01-30,250.0,269.0,248.0,267.95,425600,267.95
1995-01-31,265.0,276.65,264.0,272.45,301000,272.45
