Date,Open,High,Low,Close,Volume,Adj Close
1994-11-03,375.0,400.0,356.75,380.25,879250,380.25
1994-12-01,378.5,382.5,329.0,341.2,851600,341.2
1995-01-02,341.0,343.0,235.15,272.45,4167200,272.45
1995-02-01,275.0,287.0,237.25,271.75,6171750,271.75
1995-03-01,275.0,297.0,250.0,265.45,12290250,265.45
1995-04-03,267.0,288.05,246.5,249.9,6403250,249.9
1995-05-02,249.5,280.0,225.55,271.85,21273350,271.85
1995-06-01,274.95,284.0,260.4,264.0,27161750,264.0
1995-07-03,262.25,303.0,226.35,267.4,26989650,267.4
1995-08-01,266.0,280.0,256.5,261.85,32501950,261.85
1995-09-01,261.0,278.0,257.0,275.0,19358500,275.0
1995-10-04,278.0,290.0,234.25,244.0,44468050,244.0
