Date,Open,High,Low,Close,Volume,Adj Close
1994-11-03,375.0,400.0,375.0,396.0,42650,396.0
1994-11-07,396.0,399.0,369.5,372.75,297500,372.75
1994-11-14,373.0,390.0,356.75,387.5,259000,387.5
1994-11-21,385.0,387.0,367.0,379.5,174750,379.5
1994-11-28,377.5,387.0,372.5,374.25,158850,374.25
1994-12-05,373.5,382.5,358.5,363.0,223050,363.0
1994-12-12,355.0,355.5,329.0,344.0,367400,344.0
1994-12-19,345.0,345.5,337.0,344.75,137600,344.75
1994-12-26,339.0,344.75,336.35,341.2,70050,341.2
1995-01-02,341.0,343.0,315.0,316.75,235400,316.75
1995-01-09,319.25,319.25,277.5,286.3,1330100,286.3
1995-01-16,288.0,294.0,271.0,272.5,724000,272.5
1995-01-23,274.5,274.5,235.15,256.2,1151100,256.2
1995-01-30,250.0,282.55,248.0,279.05,1962650,279.05
1995-02-06,280.0,281.0,262.0,269.85,1348800,269.85
1995-02-13,270.0,274.7,250.0,255.45,1114200,255.45
1995-02-20,255.0,282.0,237.25,266.7,1911100,266.7
1995-02-28,263.5,291.5,258.0,285.5,2423250,285.5
1995-03-06,286.0,297.0,271.0,286.45,2130300,286.45
1995-03-13,282.0,290.0,250.0,266.95,4470750,266.95
1995-03-20,255.0,267.25,250.0,259.75,2033150,259.75
1995-03-27,264.75,274.45,258.0,265.45,1794400,265.45
1995-04-03,267.0,288.05,262.0,282.75,1939300,282.75
1995-04-10,282.0,282.25,275.0,280.7,841750,280.7
1995-04-17,284.0,286.0,274.25,279.55,1512550,279.55
1995-04-24,280.0,280.2,246.5,249.9,2109650,249.9
